week_date,actual,in_sample,oos_val,is_live,pred_persistence,pred_hgb,pred_rf,pred_gbm,pred_elasticnet,pred_ridge,pred_ensemble
2014-06-23,3.635,1,0,0,3.639,3.6394814469651005,3.608476107415649,3.6360769167070366,3.577726772563011,3.6448884587991106,3.625606888752281
2014-06-30,3.605,1,0,0,3.635,3.610057779414011,3.606579644605603,3.6172936448032584,3.5853728875509865,3.632437699865696,3.6131589443345833
2014-07-07,3.56,1,0,0,3.605,3.5796315147052393,3.582703918377021,3.5710576789527617,3.5716817422688742,3.626008311965364,3.589602264567898
2014-07-14,3.523,1,0,0,3.56,3.521876898486575,3.545653838102791,3.524526856712984,3.5364131243380177,3.5586051728041443,3.538335234962263
2014-07-21,3.468,1,0,0,3.523,3.4962366905766915,3.513753914474096,3.4905382163694205,3.499175475746256,3.518122646802868,3.5040894547254595
2014-07-28,3.449,1,0,0,3.468,3.4560165227029613,3.4762644670508225,3.4552952432344375,3.4578647021314617,3.45839033711999,3.4598529097348045
2014-08-04,3.447,1,0,0,3.449,3.445150961076253,3.4606956627403718,3.4510947421052545,3.4249458628697065,3.46058888696885,3.4496774769176213
2014-08-11,3.408,1,0,0,3.447,3.4081892606127204,3.4248745678100265,3.406610227999721,3.3952196985973515,3.441250026294731,3.417255484792264
2014-08-18,3.397,1,0,0,3.408,3.3891810227408534,3.4092306277509565,3.3932141303933325,3.377533012598155,3.4012271300497146,3.3944410097824007
2014-08-25,3.41,1,0,0,3.397,3.3870842968840837,3.3897461058909517,3.391878613439951,3.3508033934791417,3.3831343968375718,3.381570173919172
2014-09-01,3.406,1,0,0,3.41,3.404689516328265,3.3883513787956434,3.4054946209205137,3.3594011605277863,3.4023104821214427,3.3944499319117614
2014-09-08,3.352,1,0,0,3.406,3.3582668497638113,3.385415745665369,3.3686233243518937,3.3617897268119092,3.3964242735904833,3.3754695219937516
2014-09-15,3.296,1,0,0,3.352,3.3018228000523995,3.3353839915309367,3.3077728502981376,3.313369206288339,3.3122107845372057,3.3128105098758764
2014-09-22,3.304,1,0,0,3.296,3.284570947846809,3.298172524107155,3.282658387343202,3.2750507964584123,3.2654979902022507,3.2794959223360185
2014-09-29,3.246,1,0,0,3.304,3.249648573853106,3.2731706216194487,3.256965905446796,3.264378537446967,3.282771724535915,3.26610486991446
2014-10-06,3.147,1,0,0,3.246,3.1673366634654316,3.2180759030318975,3.1742058042463532,3.247566088135385,3.245167410054248,3.210504164709078
2014-10-13,3.07,1,0,0,3.147,3.0932040249192267,3.1419799265348947,3.0974997229085486,3.1580697147694794,3.108145908983615,3.1159695819978332
2014-10-20,3.016,1,0,0,3.07,3.017223209196555,3.0527187286226223,3.0285898185425935,3.0777635758401383,3.020082552054278,3.03550243612658
2014-10-27,2.956,1,0,0,3.016,2.9589090635755557,3.0036069139452493,2.9712614079416064,3.0157877879645305,2.956241397557278,2.97668808721584
2014-11-03,2.907,1,0,0,2.956,2.9055285381166893,2.94170817991359,2.9255929068191002,2.960755446361602,2.898754398548072,2.9222709211012816
2014-11-10,2.856,1,0,0,2.907,2.869512856710053,2.8928104948203326,2.8831736338204976,2.9098677907439416,2.850693550202005,2.8772955244257847
2014-11-17,2.781,1,0,0,2.856,2.7750939689245193,2.8222182113939858,2.7779890702052246,2.865722847858498,2.809020075011914,2.8066292256171432
2014-11-24,2.738,1,0,0,2.781,2.7159908086587032,2.7641855732304923,2.742276763670619,2.805598732936836,2.742038429954371,2.7503157386387573
2014-12-01,2.634,1,0,0,2.738,2.6509742253163266,2.6815648564022583,2.634795115379646,2.762915844515287,2.7025694370601094,2.6842377566511715
2014-12-08,2.499,1,0,0,2.634,2.507038525775017,2.5606765074353355,2.5105062953969437,2.6804368358845747,2.5862860746017327,2.5653389902931987
2014-12-15,2.341,1,0,0,2.499,2.3539560595555145,2.3765583703528352,2.3483209242129734,2.5716288767789783,2.444684934858402,2.415929760702513
2014-12-22,2.229,1,0,0,2.341,2.2212340499366814,2.2677998713221124,2.228518625969168,2.4456844585237194,2.3027224924272196,2.2881201058687872
2014-12-29,2.136,1,0,0,2.229,2.1365316004443238,2.171044746893463,2.141999319363931,2.3368271426388105,2.1989927683557497,2.1921558026423367
2015-01-05,2.066,1,0,0,2.136,2.0761746540684483,2.100305130491254,2.0712890709634464,2.236644685746329,2.158793529764017,2.1271053682595067
2015-01-12,1.999,1,0,0,2.066,2.0179776784778127,2.0333231941446592,2.0315415700550843,2.155734664527916,2.038757769997306,2.051014437405542
2015-01-19,1.982,1,0,0,1.999,1.9764450753806326,2.000580892213439,1.9726429172899396,2.081832581531549,1.991725035469519,2.000425090046633
2015-01-26,2.013,1,0,0,1.982,2.0153856559737173,2.0317343306302806,2.0091694949898313,2.056254867352428,1.9928304002431396,2.016998551673801
2015-02-02,2.133,1,0,0,2.013,2.1198546239325524,2.0893956100061826,2.106478568182639,2.0467599156492606,2.049793955364836,2.0816268551340986
2015-02-09,2.206,1,0,0,2.133,2.2025347838576232,2.1753700905710054,2.208486023699151,2.123886191412066,2.2393584269067524,2.1970212073330155
2015-02-16,2.256,1,0,0,2.206,2.2703016080843024,2.2378817727897076,2.2595167706234713,2.1883311271784627,2.304996152863186,2.2593532315289346
2015-02-23,2.36,1,0,0,2.256,2.343074658556359,2.3243609837929786,2.340946779367701,2.247864868311133,2.332292458279939,2.321523131019446
2015-03-02,2.367,1,0,0,2.36,2.367896634357722,2.3477162013750914,2.367990941080442,2.3180513750000893,2.3929245016681007,2.363639929637234
2015-03-09,2.339,1,0,0,2.367,2.3360480084952377,2.3498998947984977,2.3578512319709723,2.3861750152054206,2.3963652107890994,2.367203330751259
