week_date,actual,in_sample,oos_val,is_live,pred_persistence,pred_hgb,pred_rf,pred_gbm,pred_elasticnet,pred_ridge,pred_ensemble
2001-03-19,1.379,1,0,0,1.377,1.389145444059095,1.3978939339697805,1.3910222455028325,1.4873881283613988,1.3856625470789334,1.4045143508527562
2001-03-26,1.411,1,0,0,1.379,1.4070986569435826,1.4066257835586289,1.3972675925599873,1.480901379285851,1.389057378737587,1.4110244441563073
2001-04-02,1.469,1,0,0,1.411,1.448881405016424,1.4511087550751578,1.455996607710536,1.4954731149368519,1.4397725090898905,1.45542297759047
2001-04-09,1.535,1,0,0,1.469,1.527379983622137,1.5039582375762959,1.5054615451658924,1.5248322212528587,1.483999632153099,1.5073672761143095
2001-04-16,1.586,1,0,0,1.535,1.5831459994107817,1.558857822489693,1.5689328335923334,1.5750722718646453,1.5557101079669102,1.568180413878903
2001-04-23,1.585,1,0,0,1.586,1.5859865994572326,1.5856458729533505,1.616626615771524,1.6255930725611574,1.6089425653861416,1.6050711689858257
2001-04-30,1.659,1,0,0,1.585,1.6255864183899404,1.6303345539624552,1.6257943131850214,1.6482183029817374,1.5988707439981646,1.6226479845071682
2001-05-07,1.663,1,0,0,1.659,1.6763914639871733,1.6424446509669017,1.6613146441911142,1.6911766491427613,1.6501057722056376,1.6636541438438406
2001-05-14,1.637,1,0,0,1.663,1.63957165008817,1.6340410900509255,1.649146577281766,1.71310532899501,1.6463779568560328,1.6538538296925882
2001-05-21,1.656,1,0,0,1.637,1.6372915224869762,1.6394863673647821,1.6326369093517616,1.7147518566191295,1.6027131463334203,1.6390017158440513
2001-05-28,1.63,1,0,0,1.656,1.6265916539832432,1.6130448992662698,1.631157486175708,1.7227027943021822,1.6458607750219536,1.6452688412740761
2001-06-04,1.58,1,0,0,1.63,1.5805843427562936,1.5801753674781216,1.5974027388924592,1.710472454949861,1.570535299754199,1.6012520577772336
2001-06-11,1.526,1,0,0,1.58,1.530692254678001,1.5211949297514995,1.5251641158221487,1.6834540163610416,1.5541409887154802,1.5570951223688787
2001-06-18,1.454,1,0,0,1.526,1.451945762051297,1.4670190018878002,1.472867356576387,1.6467569678630563,1.467694031978697,1.4920957254050455
2001-06-25,1.384,1,0,0,1.454,1.3960661722936007,1.4081581716806586,1.414812207963899,1.5917300253382984,1.3989672760797793,1.4320695393947318
