week_date,regime_int,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2008-07-28,0.0,NORMAL,0.999936402491276,5.2075524764553376e-14,0.0,6.359750907078875e-05
2008-08-04,0.0,NORMAL,0.9999563175616004,2.8871602683974814e-14,0.0,4.3682437578055705e-05
2008-08-11,0.0,NORMAL,0.999942861752879,8.935721468133747e-14,0.0,5.713824623496323e-05
2008-08-18,0.0,NORMAL,0.9997304525060425,8.26357025278471e-14,0.0,0.0002695474945956795
2008-08-25,0.0,NORMAL,0.999766065159165,4.56029787294836e-15,0.0,0.0002339348400876467
2008-09-01,0.0,NORMAL,0.9999208520567393,9.167069790379671e-14,0.0,7.914794295526547e-05
2008-09-08,0.0,NORMAL,0.9979529021501693,1.2879854707443495e-11,0.0,0.0020470978378137454
2008-09-15,0.0,NORMAL,0.8688644691696574,4.852979571569485e-11,0.0,0.1311355307817987
2008-09-22,3.0,SUPPLY_SHOCK_3,2.206183778962858e-11,0.020223768712962203,0.0,0.9797762312656849
2008-09-29,1.0,SUPPLY_SHOCK,2.324459143006208e-23,0.9676293685763123,0.0,0.03237063142340112
2008-10-06,3.0,SUPPLY_SHOCK_3,3.84004990657881e-11,0.007450329956522032,0.0,0.9925496700055895
2008-10-13,3.0,SUPPLY_SHOCK_3,6.568480907518864e-11,3.53705931058426e-05,0.0,0.9999646293415996
2008-10-20,3.0,SUPPLY_SHOCK_3,4.422357681078369e-29,0.027706082266953584,0.0,0.9722939177331861
2008-10-27,3.0,SUPPLY_SHOCK_3,3.802673922719057e-29,6.48085900035531e-05,0.0,0.9999351914094937
2008-11-03,3.0,SUPPLY_SHOCK_3,3.749401288729248e-37,5.016590034073492e-07,0.0,0.9999994983410382
2008-11-10,3.0,SUPPLY_SHOCK_3,2.102009738310812e-38,2.8728333815304632e-05,0.0,0.9999712716669197
2008-11-17,3.0,SUPPLY_SHOCK_3,5.883524497450703e-16,1.4122932940182446e-08,0.0,0.9999999858773664
2008-11-24,3.0,SUPPLY_SHOCK_3,8.58164875769274e-15,6.622085899078656e-10,0.0,0.9999999993378879
2008-12-01,3.0,SUPPLY_SHOCK_3,2.3417564586746502e-12,3.678048701904279e-08,0.0,0.999999963216397
2008-12-08,3.0,SUPPLY_SHOCK_3,7.407238404414882e-10,5.619938417560197e-08,0.0,0.9999999430601764
2008-12-15,3.0,SUPPLY_SHOCK_3,3.5098378523868486e-08,5.198873228998822e-09,0.0,0.9999999597021095
2008-12-22,3.0,SUPPLY_SHOCK_3,2.5307538534695324e-10,3.82394551656478e-06,0.0,0.999996175802189
2008-12-29,3.0,SUPPLY_SHOCK_3,5.709723071300888e-12,5.818793835897058e-07,0.0,0.9999994181145541
2009-01-05,3.0,SUPPLY_SHOCK_3,1.482593628302772e-07,9.720800332241492e-05,0.0,0.9999026437372384
2009-01-12,1.0,SUPPLY_SHOCK,3.175007896494121e-26,0.998942236614082,0.0,0.0010577633864975403
2009-01-19,1.0,SUPPLY_SHOCK,1.4698085235832952e-33,0.9999983331886391,0.0,1.6668121446241662e-06
2009-01-26,1.0,SUPPLY_SHOCK,1.2116140765550965e-27,0.997416114383941,0.0,0.0025838856153941095
2009-02-02,1.0,SUPPLY_SHOCK,3.9019338442263616e-52,0.9999999594110712,0.0,4.058803062084242e-08
2009-02-09,3.0,SUPPLY_SHOCK_3,1.128498744618761e-22,0.1955305435416485,0.0,0.8044694564580376
2009-02-16,3.0,SUPPLY_SHOCK_3,2.144845349342513e-11,0.0034729618402217807,0.0,0.9965270381386206
2009-02-23,3.0,SUPPLY_SHOCK_3,2.0689044984660718e-08,8.804001663870367e-06,0.0,0.999991175310072
2009-03-02,3.0,SUPPLY_SHOCK_3,4.1081587923362e-17,4.986337802419029e-05,0.0,0.999950136622769
2009-03-09,3.0,SUPPLY_SHOCK_3,4.055329625058305e-15,0.0017650604966707028,0.0,0.9982349395036295
2009-03-16,3.0,SUPPLY_SHOCK_3,7.053488019058943e-12,0.0004013885586812441,0.0,0.9995986114339726
2009-03-23,3.0,SUPPLY_SHOCK_3,1.12312108507876e-08,0.0004298081852456778,0.0,0.999570180583398
2009-03-30,3.0,SUPPLY_SHOCK_3,6.364154078528433e-10,0.0020226458200358643,0.0,0.9979773535439193
2009-04-06,3.0,SUPPLY_SHOCK_3,2.4725856962594003e-08,0.00011655327370605022,0.0,0.9998834220004925
2009-04-13,3.0,SUPPLY_SHOCK_3,1.7863331700026654e-06,1.643908382819843e-06,0.0,0.9999965697593041
2009-04-20,3.0,SUPPLY_SHOCK_3,4.3155836162087916e-05,3.700136064557008e-07,0.0,0.999956474149751
2009-04-27,3.0,SUPPLY_SHOCK_3,0.00029006172151944915,5.070632929770652e-07,0.0,0.999709431215703
2009-05-04,3.0,SUPPLY_SHOCK_3,1.030089545034977e-05,4.751263405141283e-07,0.0,0.9999892239773904
2009-05-11,3.0,SUPPLY_SHOCK_3,0.0002189929171891926,1.0652267817445287e-06,0.0,0.9997799418562445
2009-05-18,3.0,SUPPLY_SHOCK_3,1.7308570615312147e-12,0.0001795134535379781,0.0,0.9998204865442367
2009-05-25,3.0,SUPPLY_SHOCK_3,4.007847833050981e-10,2.5216031888121094e-05,0.0,0.9999747835677938
2009-06-01,3.0,SUPPLY_SHOCK_3,1.7856056729928926e-13,2.843490968754591e-06,0.0,0.9999971565088754
2009-06-08,3.0,SUPPLY_SHOCK_3,1.0240361360161935e-15,1.630022032583766e-05,0.0,0.9999836997795412
2009-06-15,3.0,SUPPLY_SHOCK_3,4.069506444453174e-09,2.9874371730445468e-06,0.0,0.9999970084926825
2009-06-22,3.0,SUPPLY_SHOCK_3,3.083803358276361e-09,7.877146523891916e-06,0.0,0.9999921197687753
2009-06-29,3.0,SUPPLY_SHOCK_3,8.733885719363578e-06,7.238364277191892e-07,0.0,0.9999905422784424
2009-07-06,3.0,SUPPLY_SHOCK_3,7.120419008521073e-08,9.688211786909995e-06,0.0,0.9999902405837588
2009-07-13,3.0,SUPPLY_SHOCK_3,0.00031912946965185715,2.0076201996989155e-07,0.0,0.9996806697686454
2009-07-20,3.0,SUPPLY_SHOCK_3,1.2469252869512727e-06,6.191118199073841e-07,0.0,0.9999981339623576
2009-07-27,3.0,SUPPLY_SHOCK_3,1.1714151251381977e-06,9.942663816251328e-07,0.0,0.9999978343190182
2009-08-03,3.0,SUPPLY_SHOCK_3,3.090988278581129e-05,9.186918028543462e-07,0.0,0.9999681714261409
2009-08-10,3.0,SUPPLY_SHOCK_3,0.0005221302426097471,1.0057919957279756e-07,0.0,0.9994777691776032
2009-08-17,3.0,SUPPLY_SHOCK_3,0.0005835084590916584,9.792903822665654e-07,0.0,0.9994155122513388
2009-08-24,3.0,SUPPLY_SHOCK_3,0.003954391073243205,9.087445375380564e-07,0.0,0.9960447001814229
2009-08-31,3.0,SUPPLY_SHOCK_3,0.016801606090112258,5.437126983359262e-07,0.0,0.9831978501973795
2009-09-07,0.0,NORMAL,0.7817076567230109,6.776558713442487e-08,0.0,0.21829227551059033
2009-09-14,0.0,NORMAL,0.8749329207017045,2.438329253684906e-10,0.0,0.1250670790548614
2009-09-21,0.0,NORMAL,0.9907344620576939,2.4155531317857886e-12,0.0,0.009265537940072658
2009-09-28,0.0,NORMAL,0.9997664829524807,7.078201388357117e-13,0.0,0.0002335170462572539
2009-10-05,0.0,NORMAL,0.9998634775324651,4.984222792456524e-13,0.0,0.00013652246658002405
2009-10-12,0.0,NORMAL,0.9996854752084477,7.083327470528093e-12,0.0,0.00031452478398794195
